"p_val","avg_log2FC.x","pct.1.x","pct.2.x","p_val_adj","cluster","gene","avg_log2FC.y","pct.1.y","pct.2.y","sd.1","sd.2","RNA.MTC.123","RNA.MTC.456","se","log2FC","tstat","tstat_corrected"
0,1.02575614395812,0.947,0.696,0,"MTC_456","GPR84",1.02575614395812,0.947,0.696,0.490653312806024,0.260839195526288,0.101024300019143,0.557997393237747,0.00477460347518586,1.02575614395812,214.835880987622,132.203924613257
0,1.02161103929794,0.974,0.894,0,"MTC_456","PDIA4",1.02161103929794,0.974,0.894,0.472199692117377,0.313914265674238,0.179965559027999,0.806725446599707,0.00483530419776828,1.02161103929794,211.281647961148,135.794598641
0,1.01641499963129,1,0.996,0,"MTC_456","HCST",1.01641499963129,1,0.996,0.464614186001279,0.458357508146636,1.23153007207094,2.90038488077896,0.00547265142319415,1.01641499963129,185.726245111013,129.630066616213
0,1.0097019079334,0.997,0.986,0,"MTC_456","PDIA6",1.0097019079334,0.997,0.986,0.525568345765238,0.45347082580546,0.777516423241291,2.18305297860922,0.00585603679731691,1.0097019079334,172.42069045673,117.697376751416
0,1.00357750666995,0.97,0.801,0,"MTC_456","MPP1",1.00357750666995,0.97,0.801,0.46182437124881,0.237071399968194,0.122586899674737,0.543884075749448,0.00446506375808316,1.00357750666995,224.762189532716,137.861242544114
0,1.00306574326779,0.993,0.979,0,"MTC_456","MAFB",1.00306574326779,0.993,0.979,0.555782627710523,0.639417384507235,1.02632820970726,2.72789695622175,0.00705403006593154,1.00306574326779,142.19754294956,110.331941675912
0,0.993906578770635,0.889,0.779,0,"MTC_456","IFI6",0.993906578770635,0.889,0.779,0.753827622671065,0.389139396761508,0.202852222718282,0.648519512382122,0.00729561546298731,0.993906578770635,136.233410849708,49.4049741979725
0,0.989448647983549,0.996,0.963,0,"MTC_456","POLR2L",0.989448647983549,0.996,0.963,0.468732626494376,0.344044319067747,0.292641112315831,0.985699608985669,0.00493907248960809,0.989448647983549,200.330861728669,129.617915643999
0,0.988079861519292,1,1,0,"MTC_456","SERF2",0.988079861519292,1,1,0.542002367652246,0.327050645149942,2.37358505006698,5.71160929234073,0.00541709593915886,0.988079861519292,182.400288386385,109.096910888998
0,0.983017071094144,1,0.992,0,"MTC_456","NME2",0.983017071094144,1,0.992,0.451291680887536,0.42342563523154,1.05738886408573,2.49194510465383,0.00520094417278115,0.983017071094144,189.007426043661,129.116116223328
0,0.980114790041126,0.977,0.743,0,"MTC_456","RAC2",0.980114790041126,0.977,0.743,0.346925717264695,0.236188165880673,0.112371962497617,0.538008126964662,0.00357570654053514,0.980114790041126,274.103811073501,181.690607992329
0,0.979012067324526,0.962,0.739,0,"MTC_456","TUBA1C",0.979012067324526,0.962,0.739,0.409171189875758,0.234383703455866,0.105379169589907,0.51328988729587,0.00404225958007255,0.979012067324526,242.194259901279,154.523189627316
0,0.974821717495662,0.787,0.144,0,"MTC_456","S100A10",0.974821717495662,0.787,0.144,0.508560377380703,0.0945869395004102,0.00867912494419268,0.279849727823364,0.00451662745124254,0.974821717495662,215.829560445036,118.177634328582
0,0.970392429541077,0.998,0.975,0,"MTC_456","SERPINA1",0.970392429541077,0.998,0.975,0.487375933177687,0.463151884372827,0.639533133490656,1.69175189756959,0.00564739262865707,0.970392429541077,171.830168955657,117.7939068145
0,0.969578246919744,0.92,0.382,0,"MTC_456","GLIPR2",0.969578246919744,0.92,0.382,0.4041793361548,0.124357248433645,0.024389310542766,0.311075672774673,0.00367574907986272,0.969578246919744,263.777049481287,161.993952164081
0,0.960497864489279,0.997,0.99,0,"MTC_456","GNG10",0.960497864489279,0.997,0.99,0.468295281499182,0.344791337637488,0.472234198609613,1.38454956681746,0.00493921418988593,0.960497864489279,194.463699601467,126.701983242469
0,0.956584064664072,1,1,0,"MTC_456","APOC2",0.956584064664072,1,1,0.725226557291206,0.498404460640004,3.59653294215193,8.46558000460014,0.00749452325191496,0.956584064664072,127.637747260261,67.6003820770265
0,0.948339912544561,0.987,0.935,0,"MTC_456","DNAJB11",0.948339912544561,0.987,0.935,0.441803771812639,0.308259407850818,0.267129281204155,0.927725216591283,0.00458538342278264,0.948339912544561,206.81801827797,134.527301122776
0,0.936616968365884,1,0.994,0,"MTC_456","CTSD",0.936616968365884,1,0.994,0.464546744725002,0.353274666127679,0.940644173735573,2.39266733113548,0.00495029668909751,0.936616968365884,189.204208795946,122.884151314659
0,0.934085470576951,1,1,0,"MTC_456","CTSB",0.934085470576951,1,1,0.411379649526328,0.247985517916299,4.49865680209199,9.64790002300082,0.00411062809597068,0.934085470576951,227.236677405227,144.977364602995
0,0.93179420109747,0.567,0.039,0,"MTC_456","C15orf48",0.93179420109747,0.567,0.039,0.590788601198154,0.0470362087962261,0.00266343516805919,0.226220961435265,0.00518663126903838,0.93179420109747,179.653064342518,79.9071198223683
0,0.930642733968686,1,1,0,"MTC_456","SRGN",0.930642733968686,1,1,0.462543875045272,0.565962646603982,7.41875119586707,14.2273618032662,0.00606899216395311,0.930642733968686,153.343868113104,110.736353201654
0,0.927298392890532,1,0.997,0,"MTC_456","POMP",0.927298392890532,1,0.997,0.369587267561381,0.34901858840836,0.762020537024051,1.9419428045695,0.00427105278981045,0.927298392890532,217.11236983603,148.371814360257
0,0.926912231144894,0.992,0.899,0,"MTC_456","TXN",0.926912231144894,0.992,0.899,0.447492706214551,0.300095900277179,0.203359908157404,0.643965345395999,0.00459313336564187,0.926912231144894,201.803901031592,126.928575893426
0,0.925338730260347,0.987,0.93,0,"MTC_456","C5AR1",0.925338730260347,0.987,0.93,0.499672681371773,0.406308831189073,0.472185726130496,1.16131871501955,0.00544715090351909,0.925338730260347,169.875728917761,110.649383641571
0,0.925095314715188,0.989,0.916,0,"MTC_456","BASP1",0.925095314715188,0.989,0.916,0.515901574312373,0.375505443672948,0.418988455896428,1.01807866288431,0.00542209541382779,0.925095314715188,170.615830985923,105.932611130081
0,0.922111054169431,0.993,0.959,0,"MTC_456","SLC3A2",0.922111054169431,0.993,0.959,0.438550875653779,0.399792870143564,0.492039033101605,1.32610902399757,0.00499397310802416,0.922111054169431,184.644777659658,125.895858889027
0,0.920934829987853,1,0.997,0,"MTC_456","PSMA7",0.920934829987853,1,0.997,0.368063133057019,0.331969626283499,0.84240831685695,2.05855094686805,0.00417315277946313,0.920934829987853,220.680832611724,149.543718599688
0,0.906479784428098,0.96,0.734,0,"MTC_456","TAGLN2",0.906479784428098,0.96,0.734,0.396435967714213,0.263487986655317,0.119571401237335,0.495254159319172,0.00405924182008452,0.906479784428098,223.312585109607,145.217054140413
0,0.903586416446369,0.844,0.407,0,"MTC_456","METRNL",0.903586416446369,0.844,0.407,0.506141542122494,0.157902643137734,0.0381146756808496,0.344025147588745,0.00460775020797908,0.903586416446369,196.101432512913,107.903416118605
0,0.901417347521948,0.788,0.435,0,"MTC_456","VEGFA",0.901417347521948,0.788,0.435,0.585177138987761,0.221626422431445,0.0461228394668053,0.340912366786787,0.00542096366125283,0.901417347521948,166.283598977976,80.5401710299424
0,0.894979220451606,0.993,0.957,0,"MTC_456","AP2S1",0.894979220451606,0.993,0.957,0.450029886677546,0.305988047083737,0.361517953951146,0.973745303994485,0.00463672617159697,0.894979220451606,193.019640869445,122.205588332095
0,0.892504287277234,0.879,0.778,0,"MTC_456","ISG15",0.892504287277234,0.879,0.778,0.671494946542781,0.344208596118709,0.143838254990752,0.449703289120598,0.00649055179484255,0.892504287277234,137.508229729624,40.9588381077456
0,0.89049147272515,0.909,0.401,0,"MTC_456","SLC7A5",0.89049147272515,0.909,0.401,0.392232463898018,0.181304464579128,0.0356706422603504,0.336364333358895,0.00372717508789452,0.89049147272515,238.918605036124,150.410822026735
0,0.878723627108156,1,0.995,0,"MTC_456","TUBB",0.878723627108156,1,0.995,0.424213878105051,0.379173612711541,0.676323745136809,1.85688875258762,0.00479238964900561,0.878723627108156,183.358134764874,122.98748801111
0,0.873023989846814,0.954,0.713,0,"MTC_456","SIGLEC9",0.873023989846814,0.954,0.713,0.334897225537636,0.231159081962293,0.0835027744116414,0.460210074369397,0.00346510963595223,0.873023989846814,251.947003577826,167.899808409723
0,0.871076621099464,0.569,0.063,0,"MTC_456","DUSP4",0.871076621099464,0.569,0.063,0.569415123371658,0.0654315637441835,0.00534217743478535,0.192265583071391,0.00501317048760019,0.871076621099464,173.757629678469,75.092682051118
