"gene","TF_symbol","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","log2FC","standardized_diff_MTC456_minus_MTC123","OddsRatio","FDR","Significance","pct_in_dorothea","pct_in_collectri","Corroborated"
"E2F3","E2F3",2.66793743808725e-28,0.0013489777448494,0.887,0.958,6.26965297950504e-26,"MTC_456",0.0013489777448494,0.169240913439227,0.647736707347806,0.0283000944261803,"Significant",0,0.454545454545455,"Corroborated"
"E2F6","E2F6",0,0.0028248420557504,0.715,0.333,0,"MTC_456",0.0028248420557504,0.620853828613421,0.75631733338523,0.442080971789865,"NS",0,0,"Novel"
"E2F7","E2F7",0,0.00341063759262865,1,1,0,"MTC_123",-0.00341063759262865,-0.517528733267886,0.319635554020738,1.82948506515073e-15,"Significant",0.346020761245675,0.346020761245675,"Corroborated"
"E2F8","E2F8",6.61379169695523e-128,0.00150832470698996,1,1,1.55424104878448e-125,"MTC_456",0.00150832470698996,0.219935831061182,0.310964737147779,6.6252526164536e-19,"Significant",0,0,"Novel"
"EGR1","EGR1",0,0.0312646451830971,1,1,0,"MTC_123",-0.0312646451830971,-1.41173000408656,1.15858732332522,0.246236230776463,"NS",8.04721030042919,4.39914163090129,"Corroborated"
"EGR2","EGR2",0,0.0288900624428783,1,1,0,"MTC_123",-0.0288900624428783,-1.25882703508987,1.01713202065771,0.977014013451922,"NS",0,1.58730158730159,"Corroborated"
"EGR3","EGR3",0,0.0380792287166271,1,1,0,"MTC_123",-0.0380792287166271,-1.52383917907128,1.7840559280984,8.12695164622119e-06,"Significant",0,0.503778337531486,"Corroborated"
"ELF1","ELF1",0,0.0817146670213138,1,0.999,0,"MTC_123",-0.0817146670213138,-1.3326016923867,4.04962518177072,0.0179187758896461,"Significant",0,1.36986301369863,"Corroborated"
"ELF2","ELF2",0,0.0411342242986735,0.704,0.158,0,"MTC_123",-0.0411342242986735,-0.865632942981455,0.94992957560153,1,"NS",0,0,"Novel"
"ELF4","ELF4",0,0.00363781295197448,0.64,0.363,0,"MTC_456",0.00363781295197448,0.294322166184609,0.171923273303569,0.000472363777902262,"Significant",0,0,"Novel"
"ELK1","ELK1",0,0.00817809398255903,0.722,0.191,0,"MTC_456",0.00817809398255903,0.968028191617279,0.41677738504246,0.00415219307074549,"Significant",0,1.38888888888889,"Corroborated"
"ELK3","ELK3",0,0.0131800622195963,1,1,0,"MTC_123",-0.0131800622195963,-1.03586852463922,0.929594786360213,0.708788803721339,"NS",0,0,"Novel"
"ELK4","ELK4",0,0.0178922535676759,1,0.99,0,"MTC_123",-0.0178922535676759,-1.28113693470291,1.31166448193005,0.390905931858005,"NS",0,0.50761421319797,"Corroborated"
"EP300","EP300",0,0.0241515616904065,1,0.999,0,"MTC_123",-0.0241515616904065,-1.37133130969989,2.31867891418618,1.46310687587684e-07,"Significant",0,0.520833333333333,"Corroborated"
