"assay","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","z.std","pos_avgLFC","avg_LFC"
"Adapt_HIST","CDK5RAP3",-0.447020792924161,6.29448150354705,-1.6786779975499,0.102774805255968,0.294881767746831,-4.6545591975926,-1.63154769165025,-0.440559585437608,-0.372781187677976
"Prolif_MKI67","LGALS8",-0.452672011087771,5.19247043358349,-1.64078985774982,0.102789330648344,0.294904108462489,-5.04982726382709,-1.63147879501096,-0.184632503787875,-0.156227503205125
"Adapt_HSPA1A","PIP5K1C",0.226225160078635,4.35499558920826,1.68240717081739,0.1027921812029,0.294904108462489,-5.05684916939573,1.63146527520917,0.342207146986067,0.210589013529887
"Adapt_HSPA1A","SCAF11",0.201013390405199,8.30618556494016,1.67874521801091,0.102794114782723,0.294904108462489,-5.07787913924197,1.63145610466654,0.0895163907067904,0.0826305144985758
"Adapt_HIST","OCEL1",0.788095683642775,4.48709225807902,1.67879142236591,0.102798738930515,0.294906355000118,-4.35370936514544,1.63143417390985,0.249162293508734,0.153330642159221
"Adapt_TMEM163","CASC3",-0.850434084995682,5.3997435387759,-1.66656360087711,0.102833072394427,0.294993827500632,-4.81918794831465,-1.63127136652988,-0.289711651369444,-0.245140628081838
"Adapt_AIF1","AL356441.1",-0.667279684215021,1.66610841402596,-1.6788006944959,0.10285143018805,0.295035466301063,-4.93680179399851,-1.6311843326292,-0.425533026044874,-0.0981999290872786
"Adapt_HIF1A","CBWD3",-1.45156208865224,5.11472528033057,-1.68498619783299,0.102863416450293,0.295058825554964,-4.3613092998498,-1.63112751268722,-1.08956053552877,-0.754311139981458
"Prolif_MKI67","FXYD5",-0.51557196141926,7.63579711579605,-1.64189016537505,0.102874189932102,0.295078704390368,-4.92611697416722,-1.6310764463298,-0.120906337002552,-0.111605849540818
"Adapt_HIF1A","SAP30BP",-0.50570019459961,6.24135552514914,-1.69224583692418,0.102880008575037,0.295084370082397,-4.89573275250163,-1.63104886770221,-0.274114176327152,-0.253028470455833
"Adapt_CCL3","RBL2",0.353865748157134,4.43024531810542,1.71448821110923,0.102888513187547,0.295097739063853,-5.07727815473475,1.63100856061357,0.318627020879274,0.220587937531805
"Adapt_HIST","RAB39A",0.95243495225425,4.54227963994701,1.68082276888091,0.102893068291428,0.295099779761335,-4.34480265145959,1.63098697306817,0.66528117108404,0.307052848192634
"Homeo_CECR2","COPZ1",0.872141169501185,6.05586025107119,1.67601276348135,0.102902155590252,0.295104233668539,-4.3617093117553,1.63094390881792,-0.175399034966727,-0.13492233458979
"Adapt_HIF1A","PCBP1",-0.728411108456184,8.58938013218027,-1.72193960920005,0.102902735209703,0.295104233668539,-4.42420525727009,-1.63094116213322,-0.0332464902540237,-0.0332464902540237
