"assay","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","z.std","cluster","gene","pos_avgLFC"
"Myeloid","MLC1",-0.527959403725117,1.55037412603841,-1.13784577156239,0.263732871342558,0.447110280559313,-5.14691306077037,-1.11761169592039,"Favorable_Myeloid","MLC1",-0.527959403725117
"Myeloid","CBLB",0.191568955754752,3.57663083649425,1.14076569528082,0.263750593964216,0.447110280559313,-5.66884486244948,1.1175702189638,"Unfavorable_Myeloid","CBLB",0.316586734450936
"NEUT","S100A11",-0.26412231991119,11.8024217495709,-1.14399629353003,0.263855410722525,0.447253842755858,-6.02561996622286,-1.11732495143441,"Favorable_NEUT","S100A11",0.103223204651237
"Myeloid","POMGNT2",-0.333681272134825,1.79319533414362,-1.13740347531421,0.263895417384144,0.447287533668342,-5.38613311277593,-1.11723135497377,"Favorable_Myeloid","POMGNT2",-0.333681272134825
"Myeloid","HDAC1",-0.18158927940803,5.26026769677065,-1.14485246784887,0.263955923693058,0.447355962512285,-5.77728167216559,-1.1170898177314,"Favorable_Myeloid","HDAC1",-5.30762106363269e-05
"Myeloid","TMEM60",-0.186181554164696,5.41622942923246,-1.14192207971137,0.264054259842214,0.447488490537271,-5.71871719288495,-1.11685983610125,"Favorable_Myeloid","TMEM60",-0.246336738159605
"Myeloid","AL953883.1",-0.847350053432272,-0.352205667915467,-1.14748164888375,0.264198727255485,0.447699170293595,-4.85334885609443,-1.11652207303444,"Favorable_Myeloid","AL953883.1",-0.847350053432272
"Myeloid","HMOX1",0.306526364314879,8.86551642803425,1.13708371135009,0.264265734036702,0.447778566656104,-5.52764022997675,1.1163654552226,"Unfavorable_Myeloid","HMOX1",-0.129739574173925
"MONO","PTBP3",-0.223345288633023,6.35411410544523,-1.13972631433259,0.264419810831968,0.447993063629325,-5.70975154500487,-1.11600542878358,"Favorable_MONO","PTBP3",0.367204831360915
"Myeloid","TMEM87B",-0.252777477794941,5.10507080713202,-1.13612283837788,0.264432649061551,0.447993063629325,-5.85065216239001,-1.11597543662157,"Favorable_Myeloid","TMEM87B",-0.252777477794941
"T Cells","P2RY8",-0.404731235810575,4.85834552232367,-1.13553818531495,0.264465324939405,0.448014261575834,-5.66586551855717,-1.11589910506225,"Favorable_T Cells","P2RY8",-0.404731235810575
"Myeloid","ZNF33B",0.343651842785677,3.18115240407859,1.13636389100133,0.264543858170742,0.448088603393616,-5.60149201888445,1.11571567631693,"Unfavorable_Myeloid","ZNF33B",0.343651842785677
"Myeloid","SELENOT",-0.388611164593037,7.88426806277031,-1.13722643128144,0.264549543153043,0.448088603393616,-5.70312570709684,-1.1157023994566,"Favorable_Myeloid","SELENOT",-0.567701509838606
"Myeloid","SCHIP1",0.858056291660791,0.442368972118429,1.13573194344422,0.264584090147741,0.448112958227963,-4.95738767887134,1.11562172170605,"Unfavorable_Myeloid","SCHIP1",0.858056291660791
"Myeloid","TTBK2",0.308557893740176,4.32044298257655,1.13539266064424,0.264724033332815,0.448315800047394,-5.83939136104417,1.11529498602131,"Unfavorable_Myeloid","TTBK2",0.308557893740176
"MONO","PLEKHF2",-0.30225568972797,5.23719102845127,-1.15256560369858,0.264773411642762,0.448365249088524,-5.4003919205452,-1.11517972724938,"Favorable_MONO","PLEKHF2",-0.371972362502032
"T Cells","GZMA",0.34265282918796,10.4018820526317,1.13506642203005,0.264828185341512,0.44839310739127,-5.74890188983243,1.11505189189835,"Unfavorable_T Cells","GZMA",0.34265282918796
"Myeloid","DNER",0.705300515754957,0.462508507418483,1.13541127500426,0.264844689952905,0.44839310739127,-4.95786556977938,1.1150133756549,"Unfavorable_Myeloid","DNER",0.705300515754957
"Myeloid","ACTB",-0.411542209278705,13.0275527837041,-1.13730100122322,0.264850404671813,0.44839310739127,-5.3711387564659,-1.11500003979763,"Favorable_Myeloid","ACTB",-0.456007819269693
"Myeloid","ENO3",0.402602107145784,1.35529165011612,1.13502014067163,0.264881220425599,0.448411111362772,-5.15046237112781,1.11492813163006,"Unfavorable_Myeloid","ENO3",0.402602107145784
"T Cells","GZMB",-0.306599194947086,10.1208355175399,-1.14817000351275,0.264932573918151,0.448463877791207,-5.87350263959073,-1.11480831171868,"Favorable_T Cells","GZMB",-0.306599194947086
"MONO","FAM126A",-0.205684748198794,5.35973469727199,-1.13890228615596,0.264966865441835,0.448487756780082,-5.73863263354446,-1.11472831034968,"Favorable_MONO","FAM126A",-0.196371779788824
"T Cells","PIM3",-0.275012810647116,6.32764066157168,-1.13447360875307,0.265081294458922,0.448647263984064,-5.70819950566984,-1.11446140158597,"Favorable_T Cells","PIM3",-0.257263098933742
"MONO","PPT1",-0.205779280044473,7.9875738940168,-1.13744684851545,0.265127627543517,0.448691504028441,-5.84451444781481,-1.11435335099756,"Favorable_MONO","PPT1",-0.279639380685259
"T Cells","INPP4A",0.197860483562254,6.45369032681115,1.13384228528841,0.265178894193863,0.448744086069568,-5.670232079598,1.11423381029812,"Unfavorable_T Cells","INPP4A",0.166517910303594
"NEUT","OGFR",-0.270178477642006,6.98896685060858,-1.14082450338356,0.26525019602478,0.448770539985936,-5.71654249086381,-1.11406757915574,"Favorable_NEUT","OGFR",-0.102011199931065
"Myeloid","ZNF841",0.388899654778845,1.62900154062477,1.13425975378611,0.265252792722363,0.448770539985936,-5.26732580743413,1.11406152586684,"Unfavorable_Myeloid","ZNF841",0.388899654778845
"B Cells","PDIA3",0.547286540681718,8.81095068352406,1.13441310571034,0.265282836349406,0.448770539985936,-5.73908964529526,1.11399149266481,"Unfavorable_B Cells","PDIA3",0.125602584494032
"Myeloid","USP38",-0.143039284382959,4.32246184361866,-1.13493738044328,0.265287782269222,0.448770539985936,-5.66326851838866,-1.11397996400133,"Favorable_Myeloid","USP38",-0.143039284382959
"Myeloid","PLAAT3",0.143197550529514,6.95282206569512,1.13396959718488,0.265311583277698,0.448770539985936,-5.79432284988906,1.11392448724735,"Unfavorable_Myeloid","PLAAT3",0.362367672382933
"T Cells","RGCC",-0.288014029104841,8.43968941010366,-1.13921876335022,0.265335140526413,0.448770539985936,-5.84504970361999,-1.11386958203818,"Favorable_T Cells","RGCC",-0.476892182697974
"Myeloid","HLA-DRA",0.308450617376549,12.1348009466396,1.13389243892773,0.265343467015362,0.448770539985936,-5.51228171940746,1.11385017617705,"Unfavorable_Myeloid","HLA-DRA",-0.190726571401122
