source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,lr_probs,cellchat_pvals,specificity_rank,magnitude_rank
MTC_123,MTC_456,HMGB1,HAVCR2,1.6716586,0.0,2.6521566,0.19291738,0.46998048,0.033547714,0.9275749,0.07575414081739713,0.0,0.03972466189356341,0.02442997615620648
T Cells,MTC_123,HSPA8,ADRB2,1.7166517,0.0,2.153761,0.2674712,0.7446456,0.06020884,0.9202642,0.03198959265965567,0.0,0.014529270779358382,0.024646163402407294
MONO,NEUT,HLA-B,LILRB1,1.9211429,0.0,2.2674236,0.4037888,0.46609294,0.0344159,0.92213076,0.03196448891046499,0.0,0.03376084109062293,0.02481888797234731
NEUT,NEUT,GNAI2,C5AR1,1.6676538,0.0,2.7482002,0.7902629,1.0301504,0.06122557,0.9287607,0.07842192866574171,0.0,0.014529270779358382,0.02491329023102149
NEUT,MTC_456,VCAN,ITGB1,1.74082,0.0,2.1842055,1.5834398,1.8400836,0.06768022,0.9207776,0.03189681894433785,0.0,0.014529270779358382,0.02499238836900193
MTC_Prolif,T Cells,HLA-C,CD3G,1.6669445,0.0,2.08151,1.5162431,1.366744,0.14131004,0.91900325,0.03647856668077076,0.0,0.00935474051415762,0.025035070661256785
MTC_123,T Cells,C3,IFITM1,1.6656848,0.0,2.0894659,1.434221,1.8356923,0.2659085,0.9191451,0.034938099658926705,0.0,0.002050556812155803,0.025218457276319647
NEUT,MONO,HLA-B,LILRB2,2.0186417,0.0,2.197103,0.79468966,0.9470901,0.0426465,0.92099214,0.03182085415802613,0.0,0.014529270779358382,0.02525409682560684
MTC_456,T Cells,HLA-A,CD3D,1.6653538,0.0,2.6120787,1.5644348,1.4251523,0.11240034,0.92706174,0.03990062582931104,0.0,0.008028068007489644,0.02527977732344271
MTC_Prolif,MTC_123,APOE,LRP1,2.2346241,0.0,2.1490426,0.3598313,0.56835055,0.052374016,0.92018366,0.031792608309746215,0.0,0.014529270779358382,0.025341722468279877
NEUT,MONO,VCAN,TLR2,1.7366703,0.0,2.1621225,1.7882949,2.1460536,0.12818845,0.9204062,0.031784371311982605,0.0,0.0035843999479301817,0.025517559078923262
