"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE",108,0.276008650768702,1.35950349253263,0.0153473344103393,0.0227884662456553,0.00734322220590395,33,"tags=31%, list=16%, signal=26%","FABP5/SLC7A5/S100A9/SERPINA1/MAPK13/CD9/HPRT1/BATF/GALE/CD44/ID2/BAG1/SNX10/UGDH/AREG/ELOVL5/DYNLT3/NXT1/ABHD2/ST14/NAB2/BTG3/XBP1/ARL3/SERPINA3/GLA/ISG20/PTPN6/TSPAN13/RAB31/LSR/FLNB/RBBP8"
"HALLMARK_UV_RESPONSE_UP","HALLMARK_UV_RESPONSE_UP",104,0.278769794137681,1.37000803957631,0.0169753086419753,0.0244644153957879,0.0078832702671712,34,"tags=30%, list=13%, signal=26%","AP2S1/ATP6V1F/PSMC3/GPX3/DDX21/GRINA/SELENOW/RPN1/RAB27A/BSG/CLTB/ENO2/PDAP1/TMBIM6/ALDOA/GCH1/ATP6V1C1/TFRC/FURIN/TAP1/STIP1/YKT6/ICAM1/POLR2H/MGAT1/BTG3/LYN/HTR7/IL6/POLE3/FEN1"
"HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY",111,-0.336387192586418,-1.33818754956698,0.0506775993622594,0.0709486391071632,0.0228620749002674,35,"tags=23%, list=17%, signal=19%","FDFT1/CBFA2T3/TIPARP/GAB2/SYNGR1/AFF1/CALCR/SCARB1/LRIG1/PLAAT3/NPY1R/ELF1/TOB1/JAK2/TGIF2/EGR3/FOS/NAV2/OLFML3/NRIP1/MED13L/DEPTOR/CXCL12/IL6ST/TIAM1"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",158,0.234638328863772,1.23302443316788,0.0579374275782155,0.0788592764259045,0.0254111524465858,36,"tags=17%, list=11%, signal=15%","NME1/RAN/TUBB/RANBP1/PA2G4/SNRPB/DCTPP1/EIF2S1/POLE4/GSPT1/LMNB1/XRCC6/LYAR/JPT1/NOLC1/PRPS1/SYNCRIP/MYC/KPNA2/TFRC/CDK4/POP7/CTPS1/ANP32E/SSRP1/TUBG1/PHF5A"
"HALLMARK_PEROXISOME","HALLMARK_PEROXISOME",53,0.279651900012821,1.20955312527452,0.144308943089431,0.186082584510056,0.0599621647186001,37,"tags=19%, list=10%, signal=17%","PRDX1/MVP/CNBP/ITGB1BP1/HSD3B7/ACSL5/ELOVL5/ERCC1/HRAS/CTPS1"
"HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS",108,0.239036420509092,1.17739370711586,0.141357027463651,0.186082584510056,0.0599621647186001,38,"tags=30%, list=15%, signal=25%","IFITM3/TIMP1/CD14/TNFRSF12A/BCAP31/GPX3/CD44/DNAJC3/APP/LMNA/DPYD/CASP4/ENO2/ETF1/GCH1/RARA/GSN/PEA15/ANXA1/LGALS3/TAP1/EMP1/DAP/BTG3/DDIT3/IL6/ISG20/TGFB2/CTNNB1/PSEN2/BIRC3/GNA15"
"HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_WNT_BETA_CATENIN_SIGNALING",35,-0.345830955320247,-1.13862677288261,0.284820031298905,0.357850808555034,0.11531175356231,39,"tags=51%, list=35%, signal=33%","ADAM17/NOTCH4/FZD8/JAG1/DVL2/WNT6/CCND2/TCF7/NCOR2/PTCH1/MAML1/CSNK1E/KAT2A/WNT5B/FZD1/FRAT1/SKP2/HDAC5"
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANDROGEN_RESPONSE",78,-0.283023472361198,-1.07339310415974,0.350249584026622,0.429055740432612,0.138256414747351,40,"tags=19%, list=12%, signal=17%","PLPP1/ZBTB10/CDC14B/HERC3/ELK4/HMGCS1/CCND3/SLC38A2/PIAS1/NCOA4/GUCY1A1/SELENOP/ABCC4/PMEPA1/MAF"
"HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEDGEHOG_SIGNALING",19,-0.3774508796441,-1.07885801982341,0.369767765262133,0.441917573118159,0.142400936557946,41,"tags=42%, list=23%, signal=33%","OPHN1/PTCH1/TLE3/NF1/ADGRG1/LDB1/CDK6/DPYSL2"
"HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS",100,-0.263305396423525,-1.03300161567249,0.412968099861304,0.481796116504854,0.155251165361392,42,"tags=31%, list=13%, signal=27%","RB1/TPM2/ITGB5/PDE4DIP/IFRD1/CDH13/CAMK2B/SCHIP1/PICK1/GABARAPL2/EPHB3/CDKN1A/CTF1/SH2B1/FGF2/TSC2/AGL/VIPR1/GADD45B/PLXNB2/CFD/SSPN/HDAC5/RYR1/NAV2/EIF4A2/GAA/CKB/MEF2A/MEF2C/IGF1"
"HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY",159,-0.247571355846505,-1.02602636370917,0.430318916557449,0.490363416542209,0.158011842065159,43,"tags=19%, list=12%, signal=17%","CDKN2AIP/CCP110/ERCC5/ABCC5/APAF1/MDM2/IER5/XPC/IP6K2/PLXNB2/TXNIP/CCND3/CTSF/TOB1/RHBDF2/PRMT2/SERTAD3/PTPN14/CEBPA/ANKRA2/FOS/PLK2/MXD4/SESN1/BTG2/FOXO3/ZMAT3/ZFP36L1/JUN/DDB2"
"HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TGF_BETA_SIGNALING",48,-0.282604070494294,-0.98965297296373,0.489471045374781,0.522571852391331,0.168390500233512,44,"tags=38%, list=24%, signal=29%","CDK9/BMPR1A/TJP1/APC/SMAD6/NCOR2/PPM1A/TRIM33/SMAD7/PPP1R15A/JUNB/BMPR2/SKI/ARID4B/SMURF2/CDKN1C/SKIL/PMEPA1"
"HALLMARK_NOTCH_SIGNALING","HALLMARK_NOTCH_SIGNALING",26,-0.320064287454716,-0.986498002332469,0.488752008569898,0.522571852391331,0.168390500233512,45,"tags=27%, list=13%, signal=24%","MAML2/ARRB1/KAT2A/FZD1/PRKCA/TCF7L2/ST3GAL6"
"HALLMARK_SPERMATOGENESIS","HALLMARK_SPERMATOGENESIS",57,-0.273258578725397,-0.985385900132412,0.490577657346964,0.522571852391331,0.168390500233512,46,"tags=44%, list=41%, signal=26%","TOPBP1/STAM2/ZC2HC1C/COIL/SHE/DPEP3/JAM3/PHKG2/PARP2/ACRBP/PCSK4/STRBP/ARL4A/PHF7/MLLT10/CHFR/GSTM3/MLF1/ZC3H14/BRAF/IP6K1/HSPA1L/PIAS2/SIRT1/TLE4"
"HALLMARK_BILE_ACID_METABOLISM","HALLMARK_BILE_ACID_METABOLISM",53,-0.266273467800842,-0.946954897176207,0.557630072193179,0.581359011435442,0.187333730859971,47,"tags=38%, list=32%, signal=26%","HACL1/SLC29A1/PEX6/PEX26/RETSAT/HSD17B6/NUDT12/PECR/SLC23A2/PAOX/SLC22A18/FADS1/NR3C2/FADS2/TFCP2L1/NPC1/PEX1/CH25H/LONP2/EFHC1"
"HALLMARK_APICAL_SURFACE","HALLMARK_APICAL_SURFACE",19,-0.296590626432498,-0.847737263807304,0.686552635238493,0.700855815139294,0.225839682644241,48,"tags=53%, list=30%, signal=37%","ADIPOR2/DCBLD2/NCOA6/GSTM3/BRCA1/AKAP7/CROCC/ADAM10/HSPB1/GHRL"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",148,-0.201910121082968,-0.831792856780179,0.811211057481351,0.811211057481351,0.261399911111069,49,"tags=23%, list=23%, signal=18%","STAG1/SMC2/SRSF10/RBM14/SMC4/BRCA2/UPF1/CUL5/UBE2S/TLE3/KMT5A/SRSF1/BARD1/PRPF4B/XPO1/HMGN2/CASP8AP2/RAD21/MTF2/CDKN1B/PDS5B/YTHDC1/SFPQ/RASAL2/STMN1/ATRX/NUMA1/HNRNPU/KIF20B/PURA/ARID4A/TRA2B/MARCKS/FOXN3"
