moa,AvgRank_moa,MOA.pseudo.zscore,N_compounds_moa,MOA.MW.p,Rank_moa,MOA.MW.FDR
SIRT inhibitor,46930.2521739131,0.104882522015087,2,0.812858536109673,136,0.931671842581269
HCV inhibitor,46988.4951008421,0.0355561868461811,11,0.887895859415045,137,0.945982504423506
selective serotonin reuptake inhibitor (SSRI),46989.271953097,0.0897603334494085,7,0.76451727041471,138,0.925088604285709
free radical scavenger,47054.9033653846,0.103597491235095,4,0.78130186698432,139,0.925088604285709
SYK inhibitor,47060.8018939639,0.0882255747490705,5,0.805665983092265,140,0.931671842581269
smoothened receptor antagonist,47072.0889552707,0.13014177650063,5,0.719863704864577,141,0.925088604285709
PDGFR tyrosine kinase receptor inhibitor,47079.3706883872,0.0515661270873891,23,0.783052521891644,142,0.925088604285709
Pim kinase inhibitor,47094.6169117647,0.135674046111771,4,0.707077680119823,143,0.925088604285709
carnitine palmitoyltransferase inhibitor,47160.0667958656,0.0449737953434127,2,0.964093228701431,144,0.984858842223888
adenylyl cyclase activator,47162.716275764,0.086211523452285,3,0.873194479445728,145,0.944367540310153
adrenergic inhibitor,47168.5053571429,0.090845615997014,4,0.804695065313671,146,0.931671842581269
ATP channel blocker,47195.4987692308,0.133837180717397,4,0.733712651082448,147,0.925088604285709
calcium channel blocker,47195.6310812338,0.054072366409064,25,0.779921794731031,148,0.925088604285709
p38 MAPK inhibitor,47222.0125451107,0.176986768001406,14,0.453488857071983,149,0.885974910226924
tricyclic antidepressant,47250.1524603175,0.0697712173498927,6,0.818694279561577,150,0.931671842581269
dihydroorotate dehydrogenase inhibitor,47294.0569047619,0.0740425366908823,4,0.818059840229828,151,0.931671842581269
selective estrogen receptor modulator (SERM),47343.3246734563,0.0727955986871862,4,0.854340380287578,152,0.942981658970638
muscle relaxant,47408.5,-0.217008064119498,2,0.959028219626231,153,0.984858842223888
androgen receptor modulator,47423.0890625,0.0656132561880377,4,0.84230629168653,154,0.941695779080768
TP53 inhibitor,47434.1,0.0780489348317833,2,0.877515671114478,155,0.944367540310153
