assay,ID,logFC,AveExpr,t,P.Value,adj.P.Val,B,z.std,diffexpressed,cluster,pos_avgLFC,avg_LFC,gene
Myeloid,LMTK3,2.531424680395604,-0.03467292994045074,3.8486834191737156,6.009673964400056e-4,0.009956611345676922,-0.288698329234224,3.4311774254140146,NS,Bad_Myeloid,2.531424680395604,0.632856170098901,LMTK3
Myeloid,ZNF775,2.5670314670277596,1.591575414268309,4.152101500220116,2.344946165521122e-4,0.005890910264736907,0.5571263527261685,3.6786251518171627,NS,Bad_Myeloid,2.5670314670277596,0.6417578667569399,ZNF775
Myeloid,PLLP,2.567112188952804,-0.10376581347035813,4.838525877191617,3.8134733949948964e-5,0.0024059748430936374,2.1698445667457262,4.118499534855161,NS,Bad_Myeloid,2.567112188952804,0.641778047238201,PLLP
MONO,PTMS,1.723094845261894,5.893728786310698,4.572805518181656,9.431908479430533e-5,0.0036555829511214747,1.308929176963682,3.9047596312627486,NS,Bad_MONO,0.8570001579689558,0.6427501184767168,PTMS
Myeloid,PTMS,0.4624084640312791,6.601414141946496,1.6453497649064641,0.1102804627355375,0.24981669861778202,-4.9583275387671595,1.5969338079957178,NS,Bad_Myeloid,0.8570001579689558,0.6427501184767168,PTMS
T Cells,PTMS,0.3854971646136942,6.149634651244201,1.1037886691582397,0.2778074743871191,0.458006917232818,-5.813720880579694,1.0852578369996162,NS,Bad_T Cells,0.8570001579689558,0.6427501184767168,PTMS
Myeloid,ZFPM1,2.5968904987738544,3.0939071319231366,5.275121348974336,1.1402163340976131e-5,0.0013182333554734812,3.3234006153215674,4.388716416917488,NS,Bad_Myeloid,2.5968904987738544,0.6492226246934636,ZFPM1
T Cells,CD8B,2.6501774300414924,6.599428569371627,3.610981702161798,0.001051406916694519,0.013657157373204925,-0.913781664759628,3.276396901182246,NS,Bad_T Cells,2.6501774300414924,0.6625443575103731,CD8B
MONO,CCND1,2.1015377464246807,5.6464204223929055,4.430658066714065,1.3326097017427765e-4,0.004405192729623352,0.8999403961318304,3.8203527048436463,NS,Bad_MONO,1.3319890988575627,0.6659945494287813,CCND1
Myeloid,CCND1,0.5624404512904446,7.818820916381126,2.741330912438353,0.010329424352767756,0.05311931731667853,-2.898600585110876,2.5646019004436633,NS,Bad_Myeloid,1.3319890988575627,0.6659945494287813,CCND1
