assay,ID,logFC,AveExpr,t,P.Value,adj.P.Val,B,z.std,pos_avgLFC,avg_LFC,gene
Adapt_HIST,TNFAIP2,0.9162203243901725,5.260566677274315,2.5405872451167637,0.01637532460918089,0.09302218523328204,-3.403310396643047,2.400441127710698,0.9052762189966921,0.75439684916391,TNFAIP2
Adapt_HSPA1A,TNFAIP2,0.7694665032181502,5.358735471661805,2.486640680159455,0.0181988154355776,0.09912091876658784,-3.504271184512293,2.3615480076066246,0.9052762189966921,0.75439684916391,TNFAIP2
Homeo_FRMD4A,TNFAIP2,0.5851925984148103,5.516595026333377,1.6270870069190313,0.11376117644618601,0.2988912694174603,-4.931634841573912,1.5815113036926702,0.9052762189966921,0.75439684916391,TNFAIP2
Adapt_TMEM163,TNFAIP2,0.5793722420552392,5.612692765428796,1.387340566441635,0.17562134520968614,0.38706493847280216,-5.4376745097907495,1.35436065011554,0.9052762189966921,0.75439684916391,TNFAIP2
Homeo_PICALM,TNFAIP2,-0.0770868511048377,6.137295250523601,-0.2216396208589904,0.8258465999627667,0.9142092710369621,-6.086084632661701,-0.22003152874800394,0.9052762189966921,0.75439684916391,TNFAIP2
Adapt_AIF1,MAPK9,1.713047685863283,4.786981119113511,7.128254171330936,3.833914340077675e-8,5.152668110877922e-5,8.271309774689133,5.498336202933063,0.8238820904065393,0.7552252495393277,MAPK9
Adapt_HIST,MAPK9,1.0059289345918954,5.026271412422782,4.692767140786954,4.9696916981070963e-5,0.0029589086492459006,1.903767433430498,4.0570477848758415,0.8238820904065393,0.7552252495393277,MAPK9
PVM_GPNMB,MAPK9,0.9657497177634111,5.145270867485238,3.8431414444097127,5.325698052133641e-4,0.012234004160289191,-0.37010021101858737,3.4638164329438657,0.8238820904065393,0.7552252495393277,MAPK9
Adapt_CCL3,MAPK9,0.7730437217334991,4.582997077636621,3.596643328569255,0.0011866803700880538,0.0195773417550812,-0.9533835812544149,3.242062398392171,0.8238820904065393,0.7552252495393277,MAPK9
PVM_CD163,MAPK9,0.939877849003385,5.2600105876815455,3.316475629455046,0.00281036693236655,0.03276109340317778,-1.7696283442838574,2.9877528771972277,0.8238820904065393,0.7552252495393277,MAPK9
Adapt_IFI44L,MAPK9,0.8560281266818333,5.461332526062605,2.6532046456692253,0.012039786394485155,0.07739983670455812,-3.01960068524913,2.5109760531967606,0.8238820904065393,0.7552252495393277,MAPK9
Adapt_HSPA1A,MAPK9,0.5955552737741607,4.794350376416149,2.621354555731701,0.013348263625974091,0.08220889633922585,-3.1837281750010247,2.474339892136905,0.8238820904065393,0.7552252495393277,MAPK9
Adapt_HIF1A,MAPK9,0.9488743513534725,4.714173998172088,2.266384934138317,0.03191697296506946,0.13926221915795817,-3.6492337218481876,2.145448899384366,0.8238820904065393,0.7552252495393277,MAPK9
Adapt_TMEM163,MAPK9,0.5747451964662869,5.358702026298911,1.4396330796505488,0.16020810595056803,0.36673130781326985,-5.385086723957335,1.4043719942022304,0.8238820904065393,0.7552252495393277,MAPK9
Homeo_PICALM,MAPK9,0.384230296597706,5.626383864678058,1.3049298968227727,0.20025175423244565,0.41840438544360326,-5.2788411778549245,1.280834639589027,0.8238820904065393,0.7552252495393277,MAPK9
Homeo_FRMD4A,MAPK9,0.30562184064299913,5.250086194827148,0.9951531664834301,0.3272533260437752,0.5561488245626606,-5.6303881717055635,0.9796613184444218,0.8238820904065393,0.7552252495393277,MAPK9
Adapt_AIF1,CASD1,0.963679739013795,4.393272609827876,5.161238615054165,1.3834316531894364e-5,0.0014195600217627516,2.9004300344023237,4.346474438000277,0.8282609974162181,0.7592392476315332,CASD1
Adapt_TMEM163,CASD1,2.4491124984968637,5.33750006737149,4.817156570143593,3.857072680428598e-5,0.002574856627205037,2.0159641014885086,4.115878615842843,0.8282609974162181,0.7592392476315332,CASD1
Adapt_HIST,CASD1,1.0078483297374294,4.826319683702605,4.122070437864054,2.5422174025607573e-4,0.00787086328028704,0.3537502936437322,3.6579690458093914,0.8282609974162181,0.7592392476315332,CASD1
Adapt_CCL3,CASD1,0.6629231136923188,4.494100484280789,4.054233023386164,5.377035485670572e-4,0.012324483705791194,0.2159480070265758,3.4612348313212076,0.8282609974162181,0.7592392476315332,CASD1
Adapt_HSPA1A,CASD1,0.624878684643785,4.573234652401658,2.6740786402042525,0.011655364974540144,0.07593810544116517,-3.1058034319862484,2.5224103664890056,0.8282609974162181,0.7592392476315332,CASD1
Prolif_MKI67,CASD1,0.9432472483974808,4.688411087051489,2.472769570552426,0.029886327595822288,0.1339009451408079,-3.421734310596092,2.171593634295858,0.8282609974162181,0.7592392476315332,CASD1
Homeo_FRMD4A,CASD1,0.5827914684364357,5.006055756018835,2.217132611873476,0.03404520006286324,0.14451786651203713,-3.8929070747756174,2.119535936389915,0.8282609974162181,0.7592392476315332,CASD1
PVM_CD163,CASD1,0.7502786951283085,5.306111269382268,2.160327439218134,0.039860545193006434,0.15904192207766243,-4.174288978474724,2.0551911542022556,0.8282609974162181,0.7592392476315332,CASD1
PVM_GPNMB,CASD1,0.402307317135735,4.733812712876296,1.368440184588432,0.18086868911135226,0.3940777675982615,-5.488831749408222,1.3380851251448291,0.8282609974162181,0.7592392476315332,CASD1
Adapt_HIF1A,CASD1,0.5090262188981987,4.967764996549311,1.1669599018518517,0.25344852739627094,0.4792109427691156,-5.179412176117656,1.1420132133199072,0.8282609974162181,0.7592392476315332,CASD1
Adapt_IFI44L,CASD1,0.21477765799804782,5.17218415293422,0.8134296492021864,0.4211708296871993,0.6409541730477117,-5.784267590635762,0.8043916367001597,0.8282609974162181,0.7592392476315332,CASD1
Adapt_AIF1,MBD3,1.6113791929852406,4.827269694351173,11.674056512171036,6.318940589665899e-13,5.7748798048956656e-8,18.248398474717426,7.193417359344508,0.8306540954582281,0.7614329208367092,MBD3
Prolif_MKI67,MBD3,1.4549836108201797,5.3458458776599285,4.314086437874735,3.823742952596254e-4,0.010038835634523747,0.02231749939793115,3.5519590973239046,0.8306540954582281,0.7614329208367092,MBD3
Adapt_HIF1A,MBD3,1.5387764398406247,5.029872410381292,3.9460616552729113,4.4478461335354264e-4,0.010978780012629152,-0.08051250525749154,3.511978121389371,0.8306540954582281,0.7614329208367092,MBD3
Adapt_HIST,MBD3,0.8011933078980125,4.873313462029432,3.87828751050894,6.014232159988652e-4,0.013158742568861933,-0.350048638915081,3.430971756120949,0.8306540954582281,0.7614329208367092,MBD3
Adapt_CCL3,MBD3,0.7292634608330877,4.585569028293836,3.8607990873471754,7.528898752405055e-4,0.015016718834183719,-0.2985937128234406,3.369557476504144,0.8306540954582281,0.7614329208367092,MBD3
PVM_CD163,MBD3,1.0860415711515188,5.513204691339598,3.6039474661331354,0.0012321765545247852,0.020041836749610936,-1.0808526537189316,3.2313252190457065,0.8306540954582281,0.7614329208367092,MBD3
PVM_GPNMB,MBD3,0.5045474600053232,5.14655309592882,2.577157895870636,0.015183814611387448,0.08892904494582793,-3.343919121536843,2.4279648539714924,0.8306540954582281,0.7614329208367092,MBD3
Adapt_HSPA1A,MBD3,0.4687678581329857,4.758332856088504,2.366284027990369,0.02487146658532925,0.12022655935857611,-3.6798843677046857,2.2433932531345575,0.8306540954582281,0.7614329208367092,MBD3
Adapt_IFI44L,MBD3,0.45578495242225525,5.1342298475894745,1.7010046511743806,0.09731903637341835,0.2719208369257277,-4.919241490482415,1.6579922216537601,0.8306540954582281,0.7614329208367092,MBD3
Homeo_FRMD4A,MBD3,0.23929675456996513,5.178872790381045,0.9465543849625961,0.3557542991967152,0.5835858116905362,-5.666943859763311,0.9234854119486593,0.8306540954582281,0.7614329208367092,MBD3
Adapt_TMEM163,MBD3,0.24716044138131643,5.28365191902983,0.7004172389342538,0.4890024961829692,0.695899003817586,-6.150711544111768,0.6918962334555141,0.8306540954582281,0.7614329208367092,MBD3
PVM_GPNMB,SOS1,1.8655383434678585,4.756109022102241,7.919614966770564,4.38610667119453e-9,1.6644784729867765e-5,10.540774358481485,5.868932227161983,1.1447437688141067,0.7631625125427378,SOS1
Adapt_CCL3,SOS1,1.0563674898950213,4.316234185288301,4.9640213047450406,2.317963967999944e-5,0.0018991741860798974,2.6560497704161685,4.231831153250733,1.1447437688141067,0.7631625125427378,SOS1
