p_val	p_val_adj	cluster	gene	avg_log2FC.y	pct.1.y	pct.2.y	sd.1	sd.2	RNA.MTC.123	RNA.MTC.456	se	tstat	log2FC
0	0	MTC_456	PLIN2	1.7563198648150258	0.961	0.873	0.9024276618193919	0.3648216023939391	0.24409061149668482	1.5528490948696052	0.008359741459524686	210.09260553314834	1.7563198648150258
0	0	MTC_456	VIM	1.7560232410747372	0.776	0.237	0.8425680418783239	0.1505539081814394	0.02574309283750257	0.9769578607376551	0.007403335745195665	237.1935167487567	1.7560232410747372
0	0	MTC_456	TYMP	1.6777627947893832	1	0.987	0.48695083003997935	0.5029214104380786	0.854518790100812	4.027371741906383	0.005862657653911611	286.17785547651187	1.6777627947893832
0	0	MTC_456	CCL20	1.6516236079345665	0.682	0.35	0.8883783949656928	0.16689182404317285	0.02586617781851665	0.6354660857808471	0.007816979339204944	211.28667945315962	1.6516236079345665
0	0	MTC_456	HSPA5	1.6420864034232303	1	0.998	0.8064536019442348	0.6090493836186929	1.9172554668063408	7.972757455119047	0.008552066708021168	192.0104764715039	1.6420864034232303
0	0	MTC_456	HAMP	1.5913386869258743	0.993	0.981	0.9140816142724292	0.6048247697580884	0.9133193662432734	3.323566438819204	0.009311908892707473	170.89285400677784	1.5913386869258743
0	0	MTC_456	RGCC	1.5689644536381355	0.777	0.222	0.8134125899992605	0.2378515216857413	0.03375671075029575	0.6667077292871997	0.007307714575890252	214.69974468002516	1.5689644536381355
0	0	MTC_456	CD14	1.5617003408657366	1	1	0.6601551211760939	0.6571699759501132	3.9692156605997155	13.908405318110043	0.00781090787872949	199.9383893796172	1.5617003408657366
0	0	MTC_456	MSR1	1.5592642247558006	0.988	0.935	0.5317954797823221	0.38557631524662594	0.36027759591462843	1.6971171035829573	0.00556564036421318	280.1589974770559	1.5592642247558006
0	0	MTC_456	IFI30	1.5278840045933952	0.999	0.987	0.48202231192059264	0.5164429461991283	1.1334529265418363	4.06552692856607	0.005908844646842105	258.57576157632616	1.5278840045933952
